Transactions Per Block,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %,Date
0.25833723081658355,0.010612721145841721,0.0010292115902548432,0.1228663226982045,0.09762703661634455,0.0052910921876325855,0.11525416945964603,0.1627458444359853,2015-12-05
0.25724945170788294,0.010935683491806349,0.0010556159958345912,0.12835726765188615,0.09780652539912585,0.005382789853584831,0.13192200334157053,0.1495749270397158,2015-12-06
0.25616167259918227,0.010443807551055416,0.0010820204014143392,0.13124569191792834,0.09798601418190715,0.00539510745050379,0.0967954938821246,0.14576830351478243,2015-12-07
0.2550738934904817,0.00995193161030448,0.0011084248069940874,0.13413411618397056,0.0981952266739649,0.00561956143880481,0.07439496563384791,0.15574165715010788,2015-12-08
0.2633511853280779,0.009460055669553545,0.0011625828094457072,0.13702254045001275,0.09840443916602264,0.005692098398438677,0.14742929176713054,0.14848369496256822,2015-12-09
0.2716284771656741,0.00896817972880261,0.0012167408118973267,0.13991096471605494,0.09861365165808038,0.005685255289039255,0.07169369603713746,0.14488009135896462,2015-12-10
0.2799057690032703,0.0094735173389566,0.0012708988143489465,0.1412193131320321,0.09882286415013812,0.00615469259383956,0.1751423168889378,0.16614642811825914,2015-12-11
0.28818306084086653,0.009978854949110591,0.0013250568168005662,0.1425276615480093,0.09903619449400512,0.005915183764859813,0.21153942352905866,0.1352874000761325,2015-12-12
0.2934581102647673,0.01048419255926458,0.001320053833103819,0.14383600996398646,0.09924952483787211,0.005948030689977035,0.06417015997518834,0.14660576069026776,2015-12-13
0.2987331596886681,0.01098953016941857,0.0013150508494070715,0.14829612135026787,0.09946285518173911,0.006047940087208587,0.21902294078216764,0.1494480395888847,2015-12-14
0.3040082091125689,0.010710753466136437,0.0013100478657103243,0.15275623273654926,0.0996761855256061,0.006329876194464746,0.10711034186067452,0.15703590914858523,2015-12-15
0.30928325853646965,0.010431976762854305,0.001305044882013577,0.15721634412283067,0.09989980118489876,0.006212174712794699,0.18530709433433715,0.14043903057987567,2015-12-16
0.29912480717459694,0.010153200059572171,0.0013067959593417906,0.15687846969563787,0.10012341684419142,0.006232704040992963,0.06461036687243005,0.14604745590661086,2015-12-17
0.28896635581272423,0.009874423356290038,0.001308547036670004,0.15654059526844505,0.10034703250348406,0.006338087925744051,0.08344922113393295,0.1494480395888847,2015-12-18
0.2788079044508516,0.010365803189532275,0.0013102981139982172,0.15620272084125225,0.10057064816277672,0.006310715488146366,0.06133882924974739,0.14409338916381173,2015-12-19
0.26864945308897886,0.010857183022774514,0.0013120491913264309,0.15317448630132852,0.10079015183941743,0.006045202843448818,0.12158714595860055,0.1345006978809796,2015-12-20
0.2886046337122785,0.011348562856016752,0.0013125143087972745,0.15014625176140475,0.10100965551605814,0.005987720724493679,0.12204736226026233,0.14277375967516814,2015-12-21
0.30855981433557816,0.01183994268925899,0.0013129794262681186,0.14711801722148102,0.10122915919269887,0.005979508993214373,0.06582093583984473,0.1448547138687984,2015-12-22
0.32851499495887787,0.011142145503548712,0.0013134445437389625,0.14408978268155725,0.10144866286933958,0.006053414574728123,0.0632797414784949,0.1483314300215709,2015-12-23
0.3484701755821775,0.010444348317838435,0.0013139096612098061,0.14447629595157613,0.1016501428742235,0.006198488493995856,0.0796374295919082,0.15122446390052027,2015-12-24
