Date,Confirmed Payments
2015-11-09,91646798.0
2015-11-13,92286431.0
2015-11-17,92893073.0
2015-11-21,93524134.0
2015-11-25,94102540.0
2015-11-29,94746176.0
2015-12-03,95419748.0
2015-12-07,96123127.0
2015-12-11,96942987.0
2015-12-15,97778984.0
2015-12-19,98655287.0
2015-12-23,99515476.0
2015-12-27,100305034.0
2015-12-31,101000764.0
2016-01-04,101571729.0
2016-01-08,102297161.0
2016-01-12,103010985.0
2016-01-16,103760801.0
2016-01-20,104557079.0
2016-01-24,105393213.0
2016-01-28,106277164.0
2016-02-01,107097081.0
2016-02-05,107953916.0
2016-02-09,108840634.0
2016-02-13,109728733.0
2016-02-17,110538096.0
2016-02-21,111409151.0
2016-02-25,112324526.0
2016-02-29,113159415.0
2016-03-04,114194756.0
2016-03-08,114982938.0
2016-03-12,115752295.0
2016-03-16,116462714.0
2016-03-20,117267257.0
2016-03-24,118036568.0
2016-03-28,118717643.0
2016-04-01,119519077.0
2016-04-05,120301309.0
2016-04-09,121170114.0
2016-04-13,122022428.0
2016-04-17,122869495.0
2016-04-21,123725048.0
2016-04-25,124517359.0
2016-04-29,125473816.0
2016-05-03,126363745.0
2016-05-07,127297075.0
2016-05-11,128159242.0
2016-05-15,129066021.0
2016-05-19,129981129.0
2016-05-23,130783891.0
2016-05-27,131722199.0
2016-05-31,132520907.0
2016-06-04,133435118.0
2016-06-08,134274248.0
2016-06-12,135182216.0
2016-06-16,136151343.0
2016-06-20,137124968.0
2016-06-24,138099653.0
2016-06-28,138943108.0
2016-07-02,139818164.0
2016-07-06,140623108.0
2016-07-10,141448513.0
2016-07-14,142264794.0
2016-07-18,143052608.0
2016-07-22,143942775.0
2016-07-26,144783205.0
2016-07-30,145723125.0
2016-08-03,146590177.0
2016-08-07,147488018.0
2016-08-11,148392775.0
2016-08-15,149293157.0
2016-08-19,150228418.0
2016-08-23,151096839.0
2016-08-27,152030973.0
2016-08-31,152874409.0
2016-09-04,153745688.0
2016-09-08,154639697.0
2016-09-12,155460161.0
2016-09-16,156372460.0
2016-09-20,157216700.0
2016-09-24,158153913.0
2016-09-28,159030221.0
2016-10-02,159972595.0
2016-10-06,160955164.0
2016-10-10,161955206.0
2016-10-14,162907622.0
2016-10-18,163792452.0
2016-10-22,164778698.0
2016-10-26,165649442.0
2016-10-30,166680044.0
2016-11-03,167646148.0
2016-11-07,168630170.0
2016-11-11,169740830.0
2016-11-15,170715430.0
2016-11-19,171839267.0
2016-11-23,172904661.0
2016-11-27,174101890.0
2016-12-01,175220623.0
2016-12-05,176309004.0
2016-12-09,177500532.0
2016-12-13,178517026.0
2016-12-17,179658397.0
2016-12-21,180710924.0
2016-12-25,181895789.0
2016-12-29,182941295.0
2017-01-02,183961799.0
2017-01-06,185172468.0
2017-01-10,186331500.0
2017-01-14,187526244.0
2017-01-18,188563136.0
2017-01-22,189722896.0
2017-01-26,190780358.0
2017-01-30,191844521.0
2017-02-03,193009940.0
2017-02-07,194139731.0
2017-02-11,195422528.0
2017-02-15,196526652.0
2017-02-19,197709937.0
2017-02-23,198804578.0
2017-02-27,200067913.0
2017-03-03,201323192.0
2017-03-07,202494972.0
2017-03-11,203730676.0
2017-03-15,204816495.0
2017-03-19,205991487.0
2017-03-23,207142546.0
2017-03-27,208183230.0
2017-03-31,209283040.0
2017-04-04,210331731.0
2017-04-08,211489676.0
2017-04-12,212537440.0
2017-04-16,213604022.0
2017-04-20,214675280.0
2017-04-24,215785841.0
2017-04-28,216966802.0
2017-05-02,218189730.0
2017-05-06,219439937.0
2017-05-10,220817283.0
2017-05-14,222070336.0
2017-05-18,223319866.0
2017-05-22,224608121.0
2017-05-26,225991952.0
2017-05-30,227286921.0
2017-06-03,228546120.0
2017-06-07,229706676.0
2017-06-11,230889986.0
2017-06-15,231962028.0
2017-06-19,232970155.0
2017-06-23,234059705.0
2017-06-27,234989698.0
2017-07-01,236026202.0
2017-07-05,236955005.0
2017-07-09,237881147.0
2017-07-13,238843535.0
2017-07-17,239742398.0
2017-07-21,240717621.0
2017-07-25,241630558.0
2017-07-29,242585209.0
2017-08-02,243343135.0
2017-08-06,244240858.0
2017-08-10,245225550.0
2017-08-14,246291824.0
2017-08-18,247480589.0
2017-08-22,248507661.0
2017-08-26,249431724.0
2017-08-30,250423130.0
2017-09-03,251497283.0
2017-09-07,252515787.0
2017-09-11,253462800.0
2017-09-15,254503652.0
2017-09-19,255440764.0
2017-09-23,256441730.0
2017-09-27,257321180.0
2017-10-01,258321327.0
2017-10-05,259335557.0
2017-10-09,260361879.0
2017-10-13,261548652.0
2017-10-17,262749769.0
2017-10-21,264082082.0
2017-10-25,265347488.0
2017-10-29,266383322.0
2017-11-02,267662050.0
2017-11-06,268826538.0
2017-11-10,270075705.0
2017-11-14,271037940.0
2017-11-18,272248316.0
2017-11-22,273491904.0
2017-11-26,274798026.0
2017-11-30,276271425.0
2017-12-04,277747090.0
2017-12-08,279373630.0
2017-12-12,280871727.0
2017-12-16,282565792.0
2017-12-20,284094637.0
2017-12-24,285489261.0
2017-12-28,286552442.0
2018-01-01,287846198.0
2018-01-05,289250439.0
2018-01-09,290665709.0
2018-01-13,292011260.0
2018-01-17,293089374.0
2018-01-21,294197236.0
2018-01-25,295182374.0
2018-01-29,296046100.0
2018-02-02,296975108.0
2018-02-06,297797902.0
2018-02-10,298604656.0
2018-02-14,299306169.0
2018-02-18,300060611.0
2018-02-22,300812154.0
2018-02-26,301478395.0
2018-03-02,302309658.0
2018-03-06,303041352.0
2018-03-10,303857516.0
2018-03-14,304549889.0
2018-03-18,305285642.0
2018-03-22,306033506.0
2018-03-26,306691342.0
2018-03-30,307435858.0
2018-04-03,308073189.0
2018-04-07,308813093.0
2018-04-11,309468954.0
2018-04-15,310243378.0
2018-04-19,311012999.0
2018-04-23,311801306.0
2018-04-27,312713491.0
2018-05-01,313522774.0
2018-05-05,314383829.0
2018-05-09,315180744.0
2018-05-13,315992718.0
2018-05-17,316784522.0
2018-05-21,317519701.0
2018-05-25,318354573.0
2018-05-29,319042790.0
2018-06-02,319866167.0
2018-06-06,320628257.0
2018-06-10,321415161.0
2018-06-14,322234256.0
2018-06-18,322954219.0
2018-06-22,323736973.0
2018-06-26,324463101.0
2018-06-30,325234484.0
2018-07-04,325988496.0
2018-07-08,326763721.0
2018-07-12,327545678.0
2018-07-16,328294854.0
2018-07-20,329199348.0
2018-07-24,330006442.0
2018-07-28,330977464.0
2018-08-01,331809220.0
2018-08-05,332696040.0
2018-08-09,333554382.0
2018-08-13,334361876.0
2018-08-17,335308653.0
2018-08-21,336116312.0
2018-08-25,337002185.0
2018-08-29,337831435.0
2018-09-02,338752659.0
2018-09-06,339640512.0
2018-09-10,340517266.0
2018-09-14,341444891.0
2018-09-18,342298731.0
2018-09-22,343320841.0
2018-09-26,344236324.0
2018-09-30,345202714.0
2018-10-04,346138560.0
2018-10-08,347063616.0
2018-10-12,348053877.0
2018-10-16,348961028.0
2018-10-20,349985997.0
2018-10-24,350934362.0
2018-10-28,351929533.0
2018-11-01,352989457.0
2018-11-05,354045146.0
2018-11-09,355193936.0
2018-11-13,356277368.0
2018-11-17,357423738.0
2018-11-21,358483054.0
2018-11-25,359528490.0
2018-11-29,360548754.0
2018-12-03,361509076.0
2018-12-07,362555831.0
2018-12-11,363537909.0
2018-12-15,364596118.0
2018-12-19,365651197.0
2018-12-23,366772667.0
2018-12-27,367840744.0
2018-12-31,368980920.0
2019-01-04,370039173.0
2019-01-08,371129843.0
2019-01-12,372400845.0
2019-01-16,373591457.0
2019-01-20,374779658.0
2019-01-24,375980457.0
2019-01-28,377152636.0
2019-02-01,378464436.0
2019-02-05,379761650.0
2019-02-09,381152017.0
2019-02-13,382350594.0
2019-02-17,383686764.0
2019-02-21,385019779.0
2019-02-25,386317544.0
2019-03-01,387732061.0
2019-03-05,389081411.0
2019-03-09,390211069.0
2019-03-13,391245872.0
2019-03-17,392390409.0
2019-03-21,393519539.0
2019-03-25,394595728.0
