Date,Transactions Per Block,Circulating Bitcoin,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %
2014-04-17,385.739644970414,,49394536.209411904,0.11840759224542,,36987926.25,502.0,8.00K,-6.51%
2014-04-18,374.2608740786878,,40402829.9835151,0.11530837081828424,,37048951.5,485.5,8.36K,-3.28%
2014-04-19,362.78210318696154,,31411123.7576183,0.1122091493911485,,37109976.75,506.0,8.38K,4.22%
2014-04-20,351.30333229523524,,41284759.03310575,0.10910992796401275,,37171002.0,498.5,7.69K,-1.48%
2014-04-21,339.824561403509,,51158394.3085932,0.106010706536877,,37236181.75,495.2,7.35K,-0.67%
2014-04-22,354.66237709658776,,61032029.58408065,0.10288921609854113,,37301361.5,487.9,5.68K,-1.46%
2014-04-23,369.50019278966647,,70905664.8595681,0.09976772566020525,,37366541.25,487.3,4.74K,-0.13%
2014-04-24,384.33800848274524,,62443140.95081523,0.09664623522186937,,37431721.0,500.3,4.23K,2.67%
2014-04-25,399.175824175824,,53980617.04206236,0.0935247447835335,,37493942.25,464.5,6.45K,-7.16%
2014-04-26,395.0259857789267,,45518093.133309476,0.09147115814575117,,37556163.5,457.9,6.89K,-1.43%
2014-04-27,390.8761473820295,,37055569.2245566,0.08941757150796885,,37618384.75,443.2,6.96K,-3.21%
2014-04-28,386.7263089851323,,38340118.95538375,0.08736398487018653,,37680606.0,441.9,4.54K,-0.28%
2014-04-29,382.576470588235,,39624668.6862109,0.0853103982324042,,37743808.5,446.1,3.72K,0.95%
2014-04-30,382.27918392709176,,40909218.41703805,0.08559543943196682,,37807011.0,445.6,4.08K,-0.11%
2014-05-01,381.98189726594853,,42193768.1478652,0.08588048063152945,,37870213.5,460.1,4.20K,3.25%
2014-05-02,381.68461060480524,,40480107.44833735,0.08616552183109208,,37933416.0,453.7,3.38K,-1.40%
2014-05-03,381.387323943662,,38766446.7488095,0.0864505630306547,,37991883.75,438.6,2.58K,-3.31%
2014-05-04,395.828228806803,,37052786.04928165,0.08560007998496318,,38050351.5,436.0,3.37K,-0.59%
2014-05-05,410.26913366994404,,35339125.3497538,0.08474959693927164,,38108819.25,430.9,3.04K,-1.19%
2014-05-06,424.710038533085,,35748060.008734725,0.08389911389358012,,38167287.0,432.2,4.19K,0.31%
2014-05-07,439.150943396226,,36156994.667715654,0.0830486308478886,,38237754.0,446.5,5.03K,3.32%
2014-05-08,415.85991807348523,,36565929.326696575,0.08332829817761132,,38308221.0,441.1,2.54K,-1.22%
2014-05-09,392.5688927507445,,36974863.9856775,0.08360796550733404,,38378688.0,445.5,2.27K,0.98%
2014-05-10,369.2778674280038,,37180454.54916938,0.08388763283705677,,38449155.0,451.9,0.45K,1.45%
2014-05-11,345.986842105263,,37386045.11266125,0.0841673001667795,,38512476.0,433.2,1.89K,-4.13%
2014-05-12,368.98282163742675,,37591635.67615312,0.08228991177824461,,38575797.0,438.2,1.39K,1.15%
2014-05-13,391.9788011695905,,37797226.239645,0.08041252338970975,,38639118.0,433.9,2.65K,-0.98%
2014-05-14,414.97478070175424,,34599473.697917774,0.07853513500117487,,38702439.0,442.6,2.20K,2.01%
2014-05-15,437.970760233918,,31401721.156190548,0.07665774661264,,38768302.5,448.1,2.17K,1.24%
2014-05-16,423.8560463659147,,28203968.614463322,0.0773757533137992,,38834166.0,453.6,1.76K,1.23%
2014-05-17,409.74133249791146,,25006216.0727361,0.0780937600149584,,38900029.5,452.8,1.71K,-0.19%
2014-05-18,395.62661862990825,,31556758.088142477,0.07881176671611759,,38965893.0,450.1,1.45K,-0.59%
2014-05-19,381.511904761905,,38107300.103548855,0.0795297734172768,,39029590.0,443.9,1.35K,-1.39%
2014-05-20,396.4521103896105,,44657842.118955225,0.08248611916662993,,39093287.0,484.6,1.90K,9.16%
2014-05-21,411.39231601731603,,51208384.1343616,0.08544246491598305,,39156984.0,488.8,1.40K,0.88%
